artist,album,track_title,track_n,line,word
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,1,whispers
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,1,morning
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,2,lovers
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,2,sleeping
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,2,tight
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,3,rolling
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,3,thunder
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,4,eyes
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,5,hold
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,5,body
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,6,feel
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,6,move
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,7,voice
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,7,warm
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,7,tender
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,8,love
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,8,forsake
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,9,lady
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,11,reach
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,13,times
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,17,lady
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,19,reach
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,21,heading
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,23,frightened
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,24,ready
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,24,learn
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,25,power
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,25,love
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,26,sound
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,26,heart
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,26,beating
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,28,suddenly
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,28,feeling
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,29,light
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,30,lady
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,32,reach
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,33,gonna
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,34,heading
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,36,frightened
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,37,ready
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,37,learn
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,38,power
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,38,love
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,39,power
Céline Dion,All the Way... A Decade of Song,The Power of Love (Radio Edit),1,39,love
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,1,believed
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,2,believed
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,2,love
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,3,time
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,3,feeling
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,4,love
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,4,trust
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,5,heart
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,5,darlin
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,8,change
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,8,mind
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,9,life
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,9,forever
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,11,heart
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,12,stay
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,12,arms
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,12,forever
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,17,feeling
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,17,darlin
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,17,found
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,18,found
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,18,home
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,18,finally
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,18,home
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,19,close
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,19,darlin
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,20,free
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,22,change
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,22,mind
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,23,life
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,23,forever
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,25,heart
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,26,stay
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,26,arms
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,26,forever
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,29,world
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,29,baby
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,31,baby
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,32,baby
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,34,life
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,34,forever
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,36,gotta
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,37,gotta
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,37,gotta
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,38,gotta
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,40,world
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,41,world
Céline Dion,All the Way... A Decade of Song,If You Asked Me To,2,42,baby
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,1,tale
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,1,time
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,2,true
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,3,barely
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,3,friends
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,4,bends
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,5,unexpectedly
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,6,change
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,8,scared
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,9,prepared
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,10,beauty
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,10,beast
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,12,surprise
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,15,sun
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,15,rise
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,16,NA
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,18,surprise
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,21,sun
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,21,rise
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,23,tale
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,23,time
Céline Dion,All the Way... A Decade of Song,Beauty and the Beast (Duet) (Ft. Peabo Bryson),3,24,tune
