track_title,track_n,line,word
Drowned World/Substitute for Love,1,2,traded
Drowned World/Substitute for Love,1,2,fame
Drowned World/Substitute for Love,1,2,love
Drowned World/Substitute for Love,1,4,silly
Drowned World/Substitute for Love,1,4,game
Drowned World/Substitute for Love,1,5,bought
Drowned World/Substitute for Love,1,7,badly
Drowned World/Substitute for Love,1,8,running
Drowned World/Substitute for Love,1,8,rushing
Drowned World/Substitute for Love,1,9,suffered
Drowned World/Substitute for Love,1,9,fools
Drowned World/Substitute for Love,1,9,gladly
Drowned World/Substitute for Love,1,11,changed
Drowned World/Substitute for Love,1,11,mind
Drowned World/Substitute for Love,1,14,substitute
Drowned World/Substitute for Love,1,14,love
Drowned World/Substitute for Love,1,15,substitute
Drowned World/Substitute for Love,1,15,love
Drowned World/Substitute for Love,1,16,wait
Drowned World/Substitute for Love,1,17,substitute
Drowned World/Substitute for Love,1,17,love
Drowned World/Substitute for Love,1,18,substitute
Drowned World/Substitute for Love,1,18,love
Drowned World/Substitute for Love,1,20,traveled
Drowned World/Substitute for Love,1,20,round
Drowned World/Substitute for Love,1,20,world
Drowned World/Substitute for Love,1,21,home
Drowned World/Substitute for Love,1,22,found
Drowned World/Substitute for Love,1,22,crowded
Drowned World/Substitute for Love,1,23,feeling
Drowned World/Substitute for Love,1,24,lovers
Drowned World/Substitute for Love,1,25,settled
Drowned World/Substitute for Love,1,25,thrill
Drowned World/Substitute for Love,1,26,basking
Drowned World/Substitute for Love,1,26,spotlight
Drowned World/Substitute for Love,1,27,happy
Drowned World/Substitute for Love,1,29,substitute
Drowned World/Substitute for Love,1,29,love
Drowned World/Substitute for Love,1,30,substitute
Drowned World/Substitute for Love,1,30,love
Drowned World/Substitute for Love,1,31,wait
Drowned World/Substitute for Love,1,32,substitute
Drowned World/Substitute for Love,1,32,love
Drowned World/Substitute for Love,1,33,substitute
Drowned World/Substitute for Love,1,33,love
Drowned World/Substitute for Love,1,34,mmm
Drowned World/Substitute for Love,1,34,ooh
Drowned World/Substitute for Love,1,34,mmm
Drowned World/Substitute for Love,1,35,famous
Drowned World/Substitute for Love,1,36,trinkets
Drowned World/Substitute for Love,1,36,buy
Drowned World/Substitute for Love,1,37,handsome
Drowned World/Substitute for Love,1,37,stranger
Drowned World/Substitute for Love,1,37,heady
Drowned World/Substitute for Love,1,37,danger
Drowned World/Substitute for Love,1,38,drug
Drowned World/Substitute for Love,1,39,ferris
Drowned World/Substitute for Love,1,39,wheel
Drowned World/Substitute for Love,1,39,heart
Drowned World/Substitute for Love,1,39,steal
Drowned World/Substitute for Love,1,40,laughter
Drowned World/Substitute for Love,1,40,dark
Drowned World/Substitute for Love,1,41,night
Drowned World/Substitute for Love,1,41,stand
Drowned World/Substitute for Love,1,41,land
Drowned World/Substitute for Love,1,42,fire
Drowned World/Substitute for Love,1,42,spark
Drowned World/Substitute for Love,1,43,mmm
Drowned World/Substitute for Love,1,43,mmm
Drowned World/Substitute for Love,1,45,substitute
Drowned World/Substitute for Love,1,45,love
Drowned World/Substitute for Love,1,46,substitute
Drowned World/Substitute for Love,1,46,love
Drowned World/Substitute for Love,1,46,mmm
Drowned World/Substitute for Love,1,47,wait
Drowned World/Substitute for Love,1,48,substitute
Drowned World/Substitute for Love,1,48,love
Drowned World/Substitute for Love,1,49,substitute
Drowned World/Substitute for Love,1,49,love
Drowned World/Substitute for Love,1,51,changed
Drowned World/Substitute for Love,1,51,mind
Drowned World/Substitute for Love,1,52,religion
Swim,2,1,head
Swim,2,1,shoulder
Swim,2,1,baby
Swim,2,2,worse
Swim,2,3,night
Swim,2,3,colder
Swim,2,4,life
Swim,2,4,feels
Swim,2,4,curse
Swim,2,5,carry
Swim,2,5,sins
Swim,2,6,wanna
Swim,2,6,carry
Swim,2,7,gonna
Swim,2,7,carry
Swim,2,7,train
Swim,2,7,track
Swim,2,8,gonna
Swim,2,8,swim
Swim,2,8,ocean
Swim,2,8,floor
Swim,2,9,mmmm
Swim,2,10,crash
Swim,2,10,shore
Swim,2,11,mmmm
Swim,2,12,swim
Swim,2,12,ocean
Swim,2,12,floor
Swim,2,13,children
Swim,2,13,killing
Swim,2,13,children
Swim,2,14,students
Swim,2,14,rape
Swim,2,14,teachers
Swim,2,15,comets
Swim,2,15,fly
Swim,2,15,sky
Swim,2,16,churches
Swim,2,16,burn
Swim,2,16,preachers
Swim,2,17,carry
Swim,2,17,sins
Swim,2,18,wanna
Swim,2,18,carry
Swim,2,19,gonna
Swim,2,19,carry
Swim,2,19,train
Swim,2,19,track
Swim,2,20,gonna
Swim,2,20,swim
Swim,2,20,ocean
Swim,2,20,floor
Swim,2,21,mmmm
Swim,2,22,crash
Swim,2,22,shore
Swim,2,23,mmmm
Swim,2,24,swim
Swim,2,24,ocean
Swim,2,24,floor
Swim,2,25,water
Swim,2,25,wash
Swim,2,26,wash
Swim,2,27,swim
Swim,2,27,ocean
Swim,2,27,floor
Swim,2,28,begin
Swim,2,29,wash
Swim,2,29,sin
Swim,2,30,crash
Swim,2,30,shore
Swim,2,31,mmmm
Swim,2,32,carry
Swim,2,32,sins
Swim,2,33,wanna
Swim,2,33,carry
Swim,2,34,gonna
Swim,2,34,carry
Swim,2,34,train
Swim,2,34,track
Swim,2,35,gonna
Swim,2,35,swim
Swim,2,35,ocean
Swim,2,35,floor
Swim,2,36,mmmm
Swim,2,37,crash
Swim,2,37,shore
Swim,2,38,mmmm
Swim,2,39,swim
Swim,2,39,ocean
Swim,2,39,floor
Swim,2,40,carry
Swim,2,40,sins
Swim,2,41,wanna
Swim,2,41,carry
Swim,2,42,gonna
Swim,2,42,carry
Swim,2,42,train
Swim,2,42,track
Swim,2,43,gonna
Swim,2,43,swim
Swim,2,43,ocean
Swim,2,43,floor
Swim,2,44,crash
Swim,2,44,shore
Swim,2,45,swim
Swim,2,45,ocean
Swim,2,45,floor
Swim,2,46,mmmm
Ray of Light,3,1,zephyr
Ray of Light,3,1,sky
Ray of Light,3,1,night
Ray of Light,3,2,tears
Ray of Light,3,2,mourning
Ray of Light,3,2,sink
Ray of Light,3,2,beneath
Ray of Light,3,2,sun
Ray of Light,3,3,universe
Ray of Light,3,3,quickly
Ray of Light,3,4,call
Ray of Light,3,4,thunder
Ray of Light,3,4,threatens
Ray of Light,3,5,feel
Ray of Light,3,5,home
Ray of Light,3,6,feel
Ray of Light,3,7,feel
Ray of Light,3,7,home
Ray of Light,3,8,feel
Ray of Light,3,9,faster
Ray of Light,3,9,speeding
Ray of Light,3,9,light
Ray of Light,3,9,flying
Ray of Light,3,10,remember
Ray of Light,3,11,piece
Ray of Light,3,11,heaven
Ray of Light,3,12,waiting
Ray of Light,3,12,time
Ray of Light,3,12,earth
Ray of Light,3,13,feel
Ray of Light,3,13,home
Ray of Light,3,14,feel
Ray of Light,3,15,feel
Ray of Light,3,15,home
Ray of Light,3,16,feel
Ray of Light,3,17,quicker
Ray of Light,3,17,ray
Ray of Light,3,17,light
Ray of Light,3,18,quicker
Ray of Light,3,18,ray
Ray of Light,3,18,light
Ray of Light,3,19,quicker
Ray of Light,3,19,ray
Ray of Light,3,19,light
Ray of Light,3,20,zephyr
Ray of Light,3,20,sky
Ray of Light,3,20,night
Ray of Light,3,21,tears
Ray of Light,3,21,mourning
Ray of Light,3,21,sink
Ray of Light,3,21,beneath
Ray of Light,3,21,sun
Ray of Light,3,22,universe
Ray of Light,3,22,quickly
Ray of Light,3,23,call
Ray of Light,3,23,thunder
Ray of Light,3,23,threatens
Ray of Light,3,24,feel
Ray of Light,3,25,quicker
Ray of Light,3,25,ray
Ray of Light,3,25,light
Ray of Light,3,27,endless
Ray of Light,3,28,universe
Ray of Light,3,29,universe
Ray of Light,3,30,universe
Ray of Light,3,31,feel
Ray of Light,3,32,feel
Ray of Light,3,33,feel
Ray of Light,3,33,home
Ray of Light,3,34,feel
Ray of Light,3,35,quicker
Ray of Light,3,35,ray
Ray of Light,3,35,light
Ray of Light,3,35,flying
Ray of Light,3,36,quicker
Ray of Light,3,36,ray
Ray of Light,3,36,light
Ray of Light,3,36,flying
Candy Perfume Girl,4,NA,NA
Skin,5,2,leave
Skin,5,4,sound
Skin,5,4,stupid
Skin,5,4,hand
Skin,5,4,skin
Skin,5,5,hand
Skin,5,5,skin
Skin,5,6,hand
Skin,5,6,skin
Skin,5,7,kiss
Skin,5,7,dying
Skin,5,8,hand
Skin,5,8,skin
Skin,5,9,close
Skin,5,9,eyes
Skin,5,10,connection
Skin,5,11,walking
Skin,5,11,thin
Skin,5,11,line
Skin,5,12,close
Skin,5,12,eyes
Skin,5,13,close
Skin,5,13,eyes
Skin,5,15,leave
Skin,5,17,sound
Skin,5,17,stupid
Skin,5,18,touch
Skin,5,19,inside
Skin,5,19,soul
Skin,5,21,correction
Skin,5,22,time
Skin,5,26,leave
Skin,5,28,sound
Skin,5,28,stupid
Skin,5,29,kiss
Skin,5,29,dying
Skin,5,30,hand
Skin,5,30,skin
Skin,5,31,close
Skin,5,31,eyes
Skin,5,32,protection
Skin,5,33,close
Skin,5,33,eyes
Skin,5,34,close
Skin,5,34,eyes
Skin,5,34,kiss
Skin,5,34,kiss
Skin,5,34,kiss
Skin,5,34,kiss
Skin,5,36,leave
Skin,5,38,sound
Skin,5,38,stupid
Skin,5,40,leave
Skin,5,42,sound
Skin,5,42,stupid
Skin,5,43,kiss
Skin,5,43,dying
Skin,5,44,touch
Skin,5,45,time
Skin,5,46,time
Skin,5,47,hand
Skin,5,47,skin
Skin,5,48,hand
Skin,5,48,skin
Skin,5,49,hand
Skin,5,49,skin
Skin,5,50,touch
Skin,5,51,hand
Skin,5,51,skin
Skin,5,52,hand
Skin,5,52,skin
Skin,5,53,time
Skin,5,54,time
Skin,5,55,time
Skin,5,56,hand
Skin,5,56,skin
Skin,5,57,hand
Skin,5,57,skin
Skin,5,58,NA
Nothing Really Matters,6,2,mattered
Nothing Really Matters,6,3,happy
Nothing Really Matters,6,5,grown
Nothing Really Matters,6,6,everything's
Nothing Really Matters,6,6,changed
Nothing Really Matters,6,9,matters
Nothing Really Matters,6,10,love
Nothing Really Matters,6,13,life
Nothing Really Matters,6,15,lived
Nothing Really Matters,6,15,selfishly
Nothing Really Matters,6,17,realize
Nothing Really Matters,6,18,wins
Nothing Really Matters,6,20,begins
Nothing Really Matters,6,21,matters
Nothing Really Matters,6,22,love
Nothing Really Matters,6,25,matters
Nothing Really Matters,6,26,love
Nothing Really Matters,6,29,takes
Nothing Really Matters,6,29,past
Nothing Really Matters,6,30,future
Nothing Really Matters,6,31,makes
Nothing Really Matters,6,31,darkness
Nothing Really Matters,6,32,light
